name,rating,genre,country,budget,gross
The Shining,R,Drama,United Kingdom,19000000,46998772
The Blue Lagoon,R,Adventure,United States,4500000,58853106
Star Wars: Episode V - The Empire Strikes Back,PG,Action,United States,18000000,538375067
Airplane!,PG,Comedy,United States,3500000,83453539
Caddyshack,R,Comedy,United States,6000000,39846344
Friday the 13th,R,Horror,United States,550000,39754601
The Blues Brothers,R,Action,United States,27000000,115229890
Raging Bull,R,Biography,United States,18000000,23402427
Superman II,PG,Action,United States,54000000,108185706
The Long Riders,R,Biography,United States,10000000,15795189
Any Which Way You Can,PG,Action,United States,15000000,70687344
Popeye,PG,Adventure,United States,20000000,49823037
Ordinary People,R,Drama,United States,6000000,54766923
Dressed to Kill,R,Crime,United States,6500000,31899000
Somewhere in Time,PG,Drama,United States,5100000,9709597
9 to 5,PG,Comedy,United States,10000000,103300686
The Fog,R,Horror,United States,1000000,21448782
Cruising,R,Crime,West Germany,11000000,19814523
Heaven's Gate,R,Adventure,United States,44000000,3484523
Brubaker,R,Crime,United States,9000000,37121708
American Gigolo,R,Crime,United States,4800000,22743674
Cattle Annie and Little Britches,PG,Drama,United States,5100000,534816
Private Benjamin,R,Comedy,United States,10000000,69847348
The Hollywood Knights,R,Comedy,United States,4000000,10000000
The Stunt Man,R,Action,United States,3500000,7063886
The Island,R,Action,United States,22000000,15716828
Stardust Memories,PG,Comedy,United States,10000000,10389003
Melvin and Howard,R,Comedy,United States,7000000,4309490
Bronco Billy,PG,Action,United States,6500000,24265659
Willie & Phil,R,Comedy,United States,5500000,4400000
Phobia,R,Drama,Canada,5100000,59167
Indiana Jones and the Raiders of the Lost Ark,PG,Action,United States,18000000,389925971
An American Werewolf in London,R,Comedy,United Kingdom,10000000,30669378
Escape from New York,R,Action,United States,6000000,25244626
The Evil Dead,NC-17,Horror,United States,350000,2956630
Porky's,R,Comedy,Canada,2500000,111289673
Blow Out,R,Crime,United States,18000000,12000000
Excalibur,R,Adventure,United Kingdom,11000000,34971136
Mad Max 2,R,Action,Australia,3000000,23668369
Stripes,R,Comedy,United States,10000000,85297000
The Cannonball Run,PG,Action,United States,18000000,72179579
Thief,R,Action,United States,5500000,11492915
Time Bandits,PG,Adventure,United Kingdom,5000000,42368025
Friday the 13th Part 2,R,Horror,United States,1250000,21722776
For Your Eyes Only,PG,Action,United Kingdom,28000000,54813222
Halloween II,R,Horror,United States,2500000,25533818
Taps,PG,Drama,United States,14000000,35856053
Reds,PG,Biography,United States,32000000,40382659
The Fox and the Hound,G,Animation,United States,12000000,63456988
Chariots of Fire,PG,Biography,United Kingdom,5500000,59303359
Absence of Malice,PG,Drama,United States,12000000,40716963
Tarzan the Ape Man,Approved,Adventure,United States,6500000,36565280
Victory,PG,Drama,United Kingdom,10000000,10853418
History of the World: Part I,R,Comedy,United States,11000000,31672907
The Howling,R,Horror,United States,1000000,17985893
Dragonslayer,PG,Action,United Kingdom,18000000,14110013
Quest for Fire,R,Adventure,Canada,12500000,20962615
The Final Conflict,R,Horror,United Kingdom,5000000,20471382
The Postman Always Rings Twice,R,Crime,West Germany,12000000,12376625
Deadly Blessing,R,Horror,United States,2500000,8279042
Eyewitness,R,Crime,United States,8500000,6400000
Outland,R,Action,United Kingdom,16000000,17374595
S.O.B.,R,Comedy,United States,12000000,14867086
One from the Heart,R,Drama,United States,26000000,636796
True Confessions,R,Crime,United States,10000000,12850276
Nighthawks,R,Action,United States,5000000,19905359
Neighbors,R,Comedy,United States,8500000,29916207
Prince of the City,R,Crime,United States,8600000,8124257
Eyes of a Stranger,R,Horror,United States,800000,1118634
Under the Rainbow,PG,Comedy,United States,20000000,18826490
Carbon Copy,PG,Comedy,United States,6000000,9566593
Pennies from Heaven,R,Drama,United States,22000000,9171289
Sphinx,PG,Adventure,United Kingdom,14000000,2022771
Zoot Suit,R,Drama,United States,2700000,3256082
Heartbeeps,PG,Comedy,United States,12000000,2154696
Whose Life Is It Anyway?,R,Comedy,United States,13000000,8206145
The Pursuit of D.B. Cooper,PG,Adventure,United States,12000000,3702028
Rollover,R,Drama,United States,16000000,10851261
Honky Tonk Freeway,PG,Action,United States,24000000,2004742
Fast Times at Ridgemont High,R,Comedy,United States,4500000,27092880
Blade Runner,R,Action,United States,28000000,41676878
The Thing,R,Horror,United States,15000000,19632053
Conan the Barbarian,R,Action,United States,20000000,68851475
E.T. the Extra-Terrestrial,PG,Family,United States,10500000,792910554
First Blood,R,Action,United States,15000000,125212904
An Officer and a Gentleman,R,Drama,United States,7500000,129795554
Annie,PG,Comedy,United States,50000000,57063861
Poltergeist,PG,Horror,United States,10700000,77142388
48 Hrs.,R,Action,United States,12000000,78868508
Star Trek II: The Wrath of Khan,PG,Action,United States,11200000,78912963
Sophie's Choice,R,Drama,United Kingdom,12000000,30036000
Gandhi,PG,Biography,United Kingdom,22000000,52767889
Tootsie,PG,Comedy,United States,21000000,177200000
